CFOP,DESCRIÇÃO,APLICAÇÃO,
1.117,Compra para comercialização originada de encomenda para recebimento futuro,"Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.",
1.118,"Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.","Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código 5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem.",
1.12,"Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.",
1.121,"Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.",
1.122,Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.",
 1.124,Industrialização efetuada por outra empresa,"Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.",
1.125,Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria,"Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.",
1.126,"Compra para utilização na prestação de serviço sujeita ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) - DECRETO 36.465/2011","Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011",
1.128,"Compra para utilização na prestação de serviço sujeita ao ISSQN(AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011","Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011 - DECRETO 36.465/2011.",
1.15,"TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)", Início,
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.151,Transferência para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Entrada de mercadoria recebida, em transferência de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrialização ou produção rural.",
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.152,Transferência para comercialização,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.",
1.153,Transferência de energia elétrica para distribuição,"Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.",
1.154,Transferência para utilização na prestação de serviço,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.",
1.2,"DEVOLUÇÕES DE VENDAS DE PRODUÇÃO DO ESTABELECIMENTO, DE PRODUTOS DE TERCEIROS OU ANULAÇÕES DE VALORES", Início,
1.201,Devolução de venda de produção do estabelecimento,"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de produção do estabelecimento"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)",
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.202,Devolução de venda de mercadoria adquirida ou recebida de terceiros,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros.",
1.203,"Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada no código ""5.109 – Venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)",
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.204,"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.",
1.205,Anulação de valor relativo à prestação de serviço de comunicação,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.",
1.206,Anulação de valor relativo à prestação de serviço de transporte,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.",
1.207,Anulação de valor relativo à venda de energia elétrica,"Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.",
1.208,"Devolução de produção do estabelecimento, remetida em transferência",Devolução de produto industrializado ou produzido pelo estabelecimento transferido para outro estabelecimento da mesma empresa. (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.209,"Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência","Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.",
1.25,COMPRAS DE ENERGIA ELÉTRICA, Início,
1.251,Compra de energia elétrica para distribuição ou comercialização,Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.,
1.252,Compra de energia elétrica por estabelecimento industrial,Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.,
1.253,Compra de energia elétrica por estabelecimento comercial,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.,
1.254,Compra de energia elétrica por estabelecimento prestador de serviço de transporte,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.,
1.255,Compra de energia elétrica por estabelecimento prestador de serviço de comunicação,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.,
1.256,Compra de energia elétrica por estabelecimento de produtor rural,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.,
1.257,Compra de energia elétrica para consumo por demanda contratada,"Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.",
1.3,AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO, Início,
1.301,Aquisição de serviço de comunicação para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.,
1.302,Aquisição de serviço de comunicação por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.,
1.303,Aquisição de serviço de comunicação por estabelecimento comercial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.,
1.304,Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.,
1.305,Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.,
1.306,Aquisição de serviço de comunicação por estabelecimento de produtor rural,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.,
1.35,AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE, Início,
1.351,Aquisição de serviço de transporte para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.,
1.352,Aquisição de serviço de transporte por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.,
1.353,Aquisição de serviço de transporte por estabelecimento comercial,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.,
1.354,Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.,
1.355,Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.,
1.356,Aquisição de serviço de transporte por estabelecimento de produtor rural,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.,
1.36,Aquisição de serviço de transporte por contribuinte-substituto em relação ao serviço de transporte (ACR) (Ajuste SINIEF 06/2007- Decreto nº 30.861/2007) –– a partir de 01.01.2008,Aquisição de serviço de transporte quando o adquirente for contribuinte-substituto em relação ao imposto incidente na prestação dos serviços,
1.4,ENTRADAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA, Início,
1.401,Compra para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Compra de mercadoria sujeita ao regime de substituição tributária, a ser utilizada em processo de industrialização ou produção rural, bem como compra, por estabelecimento industrial ou produtor rural de cooperativa, de mercadoria sujeita ao mencionado regime.",
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.403,Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras de mercadorias sujeitas ao regime de substituição tributária em estabelecimento comercial de cooperativa.",
1.406,Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",
1.407,Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",
1.408,Transferência para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Mercadoria sujeita ao regime de substituição tributária, recebida em transferência de outro estabelecimento da mesma empresa, para ser industrializada ou consumida na produção rural no estabelecimento.",
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.409,Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.",
1.41,"Devolução de venda de mercadoria, de produção do estabelecimento, sujeita ao regime de substituição tributária","Devolução de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de mercadoria de produção do estabelecimento sujeita ao regime de substituição tributária"".",
,,,
,,"(NR Ajuste SINIEF 05/2005) (DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.411,Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária.",
1.414,"Retorno de mercadoria de produção do estabelecimento, remetida para venda fora do estabelecimento, sujeita ao regime de substituição tributária","Entrada, em retorno, de produto industrializado ou produzido pelo próprio estabelecimento, remetido para venda fora do estabelecimento, inclusive por meio de veículo, sujeito ao regime de substituição tributária e não comercializado.",
,,,
,," (NR Ajuste SINIEF 05/2005) (DECRETO Nº 28.868, DE 31/01/2006-– Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005).",
1.415,"Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária","Classificam-se neste código as entradas, em retorno, de mercadorias adquiridas ou recebidas de terceiros remetidas para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com mercadorias sujeitas ao regime de substituição tributária, e não comercializadas.",
1.45,SISTEMAS DE INTEGRAÇÃO,,
1.451,Retorno de animal do estabelecimento produtor,Classificam-se neste código as entradas referentes ao retorno de animais criados pelo produtor no sistema integrado.,
1.452,Retorno de insumo não utilizado na produção,Classificam-se neste código o retorno de insumos não utilizados pelo produtor na criação de animais pelo sistema integrado.,
1.5,ENTRADAS DE MERCADORIAS REMETIDAS PARA FORMAÇÃO DE LOTE OU COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES (NR Ajuste SINIEF 09/2005), Início,
,,,
,,"(DECRETO Nº 28.868, DE 31/01/2006—(Dec.",
,,"28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006.",
1.501,Entrada de mercadoria recebida com fim específico de exportação,"Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.",
1.503,"Entrada decorrente de devolução de produto, de fabricação do estabelecimento, remetido com fim específico de exportação","Devolução de produto industrializado ou produzido pelo estabelecimento, remetido a ""trading company"", a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cuja saída tenha sido classificada no código ""5.501 – Remessa de produção do estabelecimento com fim específico de exportação"".",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006).",
1.504,"Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros","Devolução de mercadoria, adquirida ou recebida de terceiro, remetida a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cuja saída tenha sido classificada no código “5.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação”.",
1.505,"Entrada decorrente de devolução simbólica de mercadoria remetida para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento.","Devolução simbólica de mercadoria remetida para formação de lote de exportação, cuja saída tenha sido classificada no código ""5.504 – Remessa de mercadoria para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento"".",
,,,
,," (ACR Ajuste SINIEF 09/2005) (Dec.28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006).",
1.506,"Entrada decorrente de devolução simbólica de mercadoria, adquirida ou recebida de terceiros, remetida para formação de lote de exportação.","Devolução simbólica de mercadoria remetida para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuada pelo estabelecimento depositário, cuja saída tenha sido classificada no código ""5.505 – Remessa de mercadoria, adquirida ou recebida de terceiros, para formação de lote de exportação"".",
,,,
,," (ACR Ajuste SINIEF 09/2005) (NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006).",
1.55,OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO, Início,
1.551,Compra de bem para o ativo imobilizado,Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.,
1.552,Transferência de bem do ativo imobilizado,Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.,
1.553,Devolução de venda de bem do ativo imobilizado,"Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código 5.551 - Venda de bem do ativo imobilizado.",
1.554,Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento,"Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código 5.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.",
1.555,"Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento","Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.",
1.556,Compra de material para uso ou consumo,Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.,
1.557,Transferência de material para uso ou consumo,Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.,
1.6,CRÉDITOS E RESSARCIMENTOS DE ICMS, Início,
1.601,"Recebimento, por transferência, de crédito de ICMS","Classificam-se neste código os lançamentos destinados ao registro de créditos de ICMS, recebidos por transferência de outras empresas.",
1.602,"Recebimento, por transferência, de saldo credor do ICMS, de outro estabelecimento da mesma empresa, para compensação de saldo devedor do imposto.","Lançamento destinado ao registro da transferência de saldo credor do ICMS, recebido de outro estabelecimento da mesma empresa, destinado à compensação do saldo devedor do estabelecimento, inclusive no caso de apuração centralizada do imposto.",
,,,
,,(NR Ajuste SINIEF 9/2003 – a partir 01.01.2004) (Decreto nº 26.174/2003),
1.603,Ressarcimento de ICMS retido por substituição tributária,"Lançamento destinado ao registro de ressarcimento de ICMS retido por substituição tributária à contribuinte substituído, efetuado pelo contribuinte substituto, ou, ainda, quando o ressarcimento for apropriado pelo próprio contribuinte substituído, nas hipóteses previstas na legislação aplicável.",
1.604,Lançamento do crédito relativo à compra de bem para o ativo imobilizado,Lançamento destinado ao registro da apropriação de crédito de bem do ativo imobilizado. (Dec.25.068/2003-EFEITOS A PARTIR DE 01.01.2003),
1.605,"Recebimento, por transferência, de saldo devedor do ICMS de outro estabelecimento da mesma empresa","Lançamento destinado ao registro da transferência de saldo devedor do ICMS, recebido de outro estabelecimento da mesma empresa, para efetivação da apuração centralizada do imposto. (ACR Ajuste SINIEF 03/2004) (DECRETO Nº 26.810/2004) (a partir de 01.01.2005)",
1.65,"ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO, E LUBRIFICANTES (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004)",Início,
1.651,Compra de combustível ou lubrificante para industrialização subseqüente,Compra de combustível ou lubrificante a ser utilizados em processo de industrialização do próprio produto. (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004),
1.652,Compra de combustível ou lubrificante para comercialização,Compra de combustível ou lubrificante a ser comercializados. (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004),
1.653,Compra de combustível ou lubrificante por consumidor ou usuário final,"Compra de combustível ou lubrificante, a ser consumidos em processo de industrialização de outros produtos, na produção rural, na prestação de serviço ou por usuário final.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
1.658,Transferência de combustível ou lubrificante para industrialização,"Entrada de combustível ou lubrificante, recebidos em transferência de outro estabelecimento da mesma empresa, para ser utilizados em processo de industrialização do próprio produto.(Decreto 26.174/2003)(efeitos a partir 01.01.2004)",
1.659,Transferência de combustível ou lubrificante para comercialização,"Entrada de combustível ou lubrificante, recebidos em transferência de outro estabelecimento da mesma empresa, para ser comercializados. .(Decreto 26.174/2003) (efeitos a partir 01.01.2004)",
1.66,Devolução de venda de combustível ou lubrificante destinados à industrialização subseqüente,"Devolução de venda de combustível ou lubrificante, cuja saída tenha sido classificada como ""Venda de combustível ou lubrificante destinados à industrialização subseqüente"". (Decreto 26.174/2003)(efeitos a partir 01.01.2004)",
1.661,Devolução de venda de combustível ou lubrificante destinados à comercialização,"Devolução de venda de combustível ou lubrificante, cuja saída tenha sido classificada como ""Venda de combustível ou lubrificante para comercialização"".(Decreto 26.174/2003)(efeitos a partir 01.01.2004).",
1.662,Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final,"Devolução de venda de combustível ou lubrificante, cuja saída tenha sido classificada como ""Venda de combustível ou lubrificante por consumidor ou usuário final""..(Decreto 26.174/2003)(efeitos a partir 01.01.2004)",
1.663,Entrada de combustível ou lubrificante para armazenagem,Entrada de combustível ou lubrificante para armazenagem. .(Decreto 26.174/2003)(efeitos a partir 01.01.2004),
1.664,Retorno de combustível ou lubrificante remetidos para armazenagem,"Entrada, ainda que simbólica, por retorno de combustível ou lubrificante, remetidos para armazenagem. .(Decreto 26.174/2003)(efeitos a partir 01.01.2004)",
1.9,OUTRAS ENTRADAS DE MERCADORIAS OU AQUISIÇÕES DE SERVIÇOS, Início,
1.901,Entrada para industrialização por encomenda,Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.,
1.902,Retorno de mercadoria remetida para industrialização por encomenda,"Classificam-se neste código o retorno dos insumos remetidos para industrialização por encomenda, incorporados ao produto final pelo estabelecimento industrializador.",
1.903,Entrada de mercadoria remetida para industrialização e não aplicada no referido processo,Classificam-se neste código as entradas em devolução de insumos remetidos para industrialização e não aplicados no referido processo.,
1.904,Retorno de remessa para venda fora do estabelecimento,"Classificam-se neste código as entradas em retorno de mercadorias remetidas para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.",
1.905,Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral,Classificam-se neste código as entradas de mercadorias recebidas para depósito em depósito fechado ou armazém geral.,
1.906,Retorno de mercadoria remetida para depósito fechado ou armazém geral,Classificam-se neste código as entradas em retorno de mercadorias remetidas para depósito em depósito fechado ou armazém geral.,
1.907,Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral,"Classificam-se neste código as entradas em retorno simbólico de mercadorias remetidas para depósito em depósito fechado ou armazém geral, quando as mercadorias depositadas tenham sido objeto de saída a qualquer título e que não tenham retornado ao estabelecimento depositante.",
